423;;;;;;443;;;;;;463;;;;;;483;;;;;
150;;;;;;170;;;;;;190;;;;;;210;;;;;
0.5;;1.0;;2.0;;0.5;;1.0;;2.0;;0.5;;1.0;;2.0;;0.5;;1.0;;2.0;
V (v)_150_05;I (nA)_150_05;V (v)_150_10;I (nA)_150_10;V (v)_150_20;I (nA)_150_20;V (v)_170_05;I (nA)_170_05;V (v)_170_10;I (nA)_170_10;V (v)_170_20;I (nA)_170_20;V (v)_190_05;I (nA)_190_05;V (v)_190_10;I (nA)_190_10;V (v)_190_20;I (nA)_190_20;V (v)_210_05;I (nA)_210_05;V (v)_210_10;I (nA)_210_10;V (v)_210_20;I (nA)_210_20
1.58;0.12;1.58;0.12;1.58;0.14;1.58;0.12;1.58;0.15;1.58;0.17;1.58;0.16;1.58;0.13;1.58;0.16;1.58;0.16;1.58;0.15;1.58;0.18
1.61;0.11;1.61;0.12;1.61;0.14;1.61;0.13;1.61;0.13;1.61;0.17;1.61;0.16;1.61;0.15;1.61;0.17;1.61;0.16;1.61;0.17;1.61;0.15
1.63;0.12;1.63;0.11;1.63;0.13;1.63;0.13;1.63;0.16;1.63;0.16;1.63;0.14;1.63;0.12;1.63;0.15;1.63;0.14;1.63;0.16;1.63;0.17
1.66;0.11;1.66;0.11;1.66;0.14;1.66;0.15;1.66;0.12;1.66;0.17;1.66;0.13;1.66;0.13;1.66;0.17;1.66;0.15;1.66;0.19;1.66;0.15
1.68;0.12;1.68;0.14;1.68;0.13;1.68;0.12;1.68;0.14;1.68;0.16;1.68;0.14;1.68;0.11;1.68;0.15;1.68;0.13;1.68;0.16;1.68;0.17
1.70;0.11;1.70;0.14;1.70;0.14;1.70;0.13;1.70;0.12;1.70;0.16;1.70;0.13;1.70;0.14;1.70;0.16;1.70;0.15;1.70;0.18;1.70;0.16
1.73;0.11;1.73;0.14;1.73;0.14;1.73;0.12;1.73;0.14;1.73;0.15;1.73;0.13;1.73;0.12;1.73;0.16;1.73;0.12;1.73;0.16;1.73;0.17
1.75;0.10;1.75;0.14;1.75;0.14;1.75;0.16;1.75;0.12;1.75;0.15;1.75;0.13;1.75;0.14;1.75;0.16;1.75;0.15;1.75;0.18;1.75;0.16
1.78;0.11;1.78;0.15;1.78;0.14;1.78;0.14;1.78;0.14;1.78;0.15;1.78;0.14;1.78;0.12;1.78;0.14;1.78;0.13;1.78;0.16;1.78;0.15
1.80;0.10;1.80;0.14;1.80;0.14;1.80;0.14;1.80;0.11;1.80;0.14;1.80;0.16;1.80;0.14;1.80;0.14;1.80;0.17;1.80;0.18;1.80;0.14
1.83;0.10;1.83;0.14;1.83;0.14;1.83;0.13;1.83;0.15;1.83;0.13;1.83;0.17;1.83;0.13;1.83;0.14;1.83;0.14;1.83;0.16;1.83;0.15
1.85;0.08;1.85;0.13;1.85;0.12;1.85;0.16;1.85;0.12;1.85;0.13;1.85;0.17;1.85;0.14;1.85;0.15;1.85;0.16;1.85;0.18;1.85;0.14
1.88;0.10;1.88;0.14;1.88;0.12;1.88;0.16;1.88;0.15;1.88;0.14;1.88;0.18;1.88;0.13;1.88;0.14;1.88;0.13;1.88;0.15;1.88;0.13
1.90;0.10;1.90;0.14;1.90;0.13;1.90;0.17;1.90;0.12;1.90;0.12;1.90;0.18;1.90;0.14;1.90;0.14;1.90;0.18;1.90;0.17;1.90;0.13
1.92;0.12;1.92;0.14;1.92;0.12;1.92;0.15;1.92;0.16;1.92;0.12;1.92;0.18;1.92;0.15;1.92;0.14;1.92;0.15;1.92;0.15;1.92;0.13
1.95;0.11;1.95;0.13;1.95;0.11;1.95;0.16;1.95;0.13;1.95;0.12;1.95;0.17;1.95;0.15;1.95;0.16;1.95;0.17;1.95;0.16;1.95;0.14
1.97;0.14;1.97;0.14;1.97;0.11;1.97;0.15;1.97;0.16;1.97;0.13;1.97;0.17;1.97;0.15;1.97;0.16;1.97;0.15;1.97;0.13;1.97;0.13
2.00;0.13;2.00;0.13;2.00;0.11;2.00;0.15;2.00;0.12;2.00;0.12;2.00;0.17;2.00;0.16;2.00;0.16;2.00;0.18;2.00;0.15;2.00;0.14
2.02;0.15;2.02;0.14;2.02;0.12;2.02;0.15;2.02;0.16;2.02;0.12;2.02;0.17;2.02;0.17;2.02;0.16;2.02;0.16;2.02;0.13;2.02;0.14
2.05;0.12;2.05;0.13;2.05;0.12;2.05;0.15;2.05;0.13;2.05;0.11;2.05;0.16;2.05;0.17;2.05;0.17;2.05;0.19;2.05;0.16;2.05;0.17
2.07;0.14;2.07;0.13;2.07;0.11;2.07;0.14;2.07;0.16;2.07;0.14;2.07;0.17;2.07;0.17;2.07;0.17;2.07;0.15;2.07;0.14;2.07;0.16
2.10;0.11;2.10;0.13;2.10;0.11;2.10;0.14;2.10;0.12;2.10;0.13;2.10;0.17;2.10;0.16;2.10;0.16;2.10;0.18;2.10;0.15;2.10;0.17
2.12;0.14;2.12;0.13;2.12;0.13;2.12;0.14;2.12;0.16;2.12;0.14;2.12;0.17;2.12;0.18;2.12;0.16;2.12;0.15;2.12;0.15;2.12;0.16
2.14;0.10;2.14;0.11;2.14;0.13;2.14;0.14;2.14;0.12;2.14;0.13;2.14;0.16;2.14;0.17;2.14;0.16;2.14;0.17;2.14;0.17;2.14;0.18
2.17;0.13;2.17;0.12;2.17;0.14;2.17;0.14;2.17;0.15;2.17;0.16;2.17;0.14;2.17;0.17;2.17;0.17;2.17;0.14;2.17;0.15;2.17;0.17
2.19;0.11;2.19;0.11;2.19;0.14;2.19;0.13;2.19;0.12;2.19;0.15;2.19;0.13;2.19;0.17;2.19;0.15;2.19;0.17;2.19;0.16;2.19;0.19
2.22;0.13;2.22;0.11;2.22;0.15;2.22;0.13;2.22;0.15;2.22;0.15;2.22;0.14;2.22;0.17;2.22;0.16;2.22;0.14;2.22;0.16;2.22;0.16
2.24;0.10;2.24;0.10;2.24;0.15;2.24;0.13;2.24;0.12;2.24;0.13;2.24;0.11;2.24;0.16;2.24;0.15;2.24;0.15;2.24;0.18;2.24;0.19
2.27;0.13;2.27;0.11;2.27;0.15;2.27;0.13;2.27;0.13;2.27;0.15;2.27;0.10;2.27;0.17;2.27;0.17;2.27;0.12;2.27;0.17;2.27;0.17
2.29;0.11;2.29;0.12;2.29;0.14;2.29;0.12;2.29;0.11;2.29;0.14;2.29;0.10;2.29;0.16;2.29;0.14;2.29;0.15;2.29;0.17;2.29;0.19
2.31;0.14;2.31;0.13;2.31;0.14;2.31;0.12;2.31;0.14;2.31;0.15;2.31;0.10;2.31;0.17;2.31;0.16;2.31;0.12;2.31;0.17;2.31;0.15
2.34;0.10;2.34;0.12;2.34;0.14;2.34;0.13;2.34;0.11;2.34;0.13;2.34;0.11;2.34;0.16;2.34;0.14;2.34;0.14;2.34;0.18;2.34;0.18
2.36;0.13;2.36;0.13;2.36;0.14;2.36;0.15;2.36;0.14;2.36;0.15;2.36;0.11;2.36;0.16;2.36;0.16;2.36;0.11;2.36;0.17;2.36;0.15
2.39;0.10;2.39;0.13;2.39;0.14;2.39;0.14;2.39;0.11;2.39;0.14;2.39;0.11;2.39;0.15;2.39;0.13;2.39;0.14;2.39;0.17;2.39;0.17
2.41;0.13;2.41;0.14;2.41;0.14;2.41;0.14;2.41;0.14;2.41;0.15;2.41;0.14;2.41;0.17;2.41;0.16;2.41;0.13;2.41;0.16;2.41;0.14
2.44;0.10;2.44;0.13;2.44;0.14;2.44;0.15;2.44;0.13;2.44;0.14;2.44;0.15;2.44;0.15;2.44;0.13;2.44;0.16;2.44;0.16;2.44;0.17
2.46;0.13;2.46;0.14;2.46;0.14;2.46;0.16;2.46;0.16;2.46;0.16;2.46;0.15;2.46;0.15;2.46;0.15;2.46;0.13;2.46;0.16;2.46;0.14
2.49;0.11;2.49;0.13;2.49;0.13;2.49;0.16;2.49;0.13;2.49;0.14;2.49;0.15;2.49;0.14;2.49;0.12;2.49;0.17;2.49;0.15;2.49;0.16
2.51;0.15;2.51;0.15;2.51;0.13;2.51;0.16;2.51;0.15;2.51;0.15;2.51;0.17;2.51;0.15;2.51;0.15;2.51;0.16;2.51;0.16;2.51;0.13
2.53;0.13;2.53;0.14;2.53;0.13;2.53;0.15;2.53;0.14;2.53;0.13;2.53;0.17;2.53;0.16;2.53;0.13;2.53;0.19;2.53;0.16;2.53;0.15
2.56;0.15;2.56;0.15;2.56;0.13;2.56;0.16;2.56;0.16;2.56;0.14;2.56;0.16;2.56;0.16;2.56;0.17;2.56;0.16;2.56;0.17;2.56;0.13
2.58;0.13;2.58;0.13;2.58;0.12;2.58;0.16;2.58;0.14;2.58;0.13;2.58;0.15;2.58;0.15;2.58;0.15;2.58;0.19;2.58;0.15;2.58;0.16
2.61;0.16;2.61;0.16;2.61;0.13;2.61;0.17;2.61;0.16;2.61;0.13;2.61;0.16;2.61;0.16;2.61;0.18;2.61;0.17;2.61;0.16;2.61;0.13
2.63;0.15;2.63;0.13;2.63;0.11;2.63;0.16;2.63;0.15;2.63;0.12;2.63;0.16;2.63;0.17;2.63;0.15;2.63;0.19;2.63;0.15;2.63;0.16
2.66;0.16;2.66;0.15;2.66;0.12;2.66;0.17;2.66;0.17;2.66;0.13;2.66;0.16;2.66;0.18;2.66;0.19;2.66;0.17;2.66;0.16;2.66;0.14
2.68;0.15;2.68;0.13;2.68;0.12;2.68;0.16;2.68;0.16;2.68;0.14;2.68;0.15;2.68;0.18;2.68;0.16;2.68;0.19;2.68;0.15;2.68;0.16
2.71;0.16;2.71;0.15;2.71;0.13;2.71;0.16;2.71;0.16;2.71;0.14;2.71;0.16;2.71;0.17;2.71;0.19;2.71;0.18;2.71;0.16;2.71;0.13
2.73;0.17;2.73;0.12;2.73;0.14;2.73;0.16;2.73;0.15;2.73;0.14;2.73;0.16;2.73;0.18;2.73;0.15;2.73;0.20;2.73;0.15;2.73;0.17
2.75;0.17;2.75;0.15;2.75;0.14;2.75;0.16;2.75;0.16;2.75;0.15;2.75;0.16;2.75;0.17;2.75;0.18;2.75;0.18;2.75;0.17;2.75;0.15
2.78;0.16;2.78;0.12;2.78;0.13;2.78;0.16;2.78;0.16;2.78;0.16;2.78;0.15;2.78;0.17;2.78;0.14;2.78;0.19;2.78;0.16;2.78;0.17
2.80;0.16;2.80;0.15;2.80;0.15;2.80;0.16;2.80;0.15;2.80;0.16;2.80;0.16;2.80;0.17;2.80;0.18;2.80;0.18;2.80;0.16;2.80;0.14
2.83;0.16;2.83;0.12;2.83;0.15;2.83;0.15;2.83;0.14;2.83;0.16;2.83;0.17;2.83;0.16;2.83;0.14;2.83;0.18;2.83;0.16;2.83;0.17
2.85;0.14;2.85;0.15;2.85;0.16;2.85;0.16;2.85;0.14;2.85;0.15;2.85;0.15;2.85;0.16;2.85;0.17;2.85;0.16;2.85;0.18;2.85;0.16
2.88;0.15;2.88;0.12;2.88;0.15;2.88;0.15;2.88;0.13;2.88;0.15;2.88;0.15;2.88;0.16;2.88;0.14;2.88;0.16;2.88;0.17;2.88;0.19
2.90;0.14;2.90;0.17;2.90;0.15;2.90;0.15;2.90;0.13;2.90;0.15;2.90;0.15;2.90;0.16;2.90;0.18;2.90;0.15;2.90;0.17;2.90;0.15
2.93;0.14;2.93;0.13;2.93;0.15;2.93;0.15;2.93;0.14;2.93;0.15;2.93;0.15;2.93;0.17;2.93;0.15;2.93;0.16;2.93;0.16;2.93;0.18
2.95;0.12;2.95;0.16;2.95;0.15;2.95;0.16;2.95;0.13;2.95;0.14;2.95;0.15;2.95;0.16;2.95;0.17;2.95;0.15;2.95;0.17;2.95;0.16
2.97;0.13;2.97;0.13;2.97;0.14;2.97;0.17;2.97;0.13;2.97;0.14;2.97;0.13;2.97;0.15;2.97;0.15;2.97;0.15;2.97;0.17;2.97;0.19
3.00;0.12;3.00;0.17;3.00;0.14;3.00;0.18;3.00;0.12;3.00;0.14;3.00;0.13;3.00;0.15;3.00;0.16;3.00;0.16;3.00;0.17;3.00;0.15
3.02;0.13;3.02;0.13;3.02;0.14;3.02;0.17;3.02;0.13;3.02;0.14;3.02;0.17;3.02;0.15;3.02;0.14;3.02;0.17;3.02;0.15;3.02;0.18
3.05;0.13;3.05;0.16;3.05;0.14;3.05;0.18;3.05;0.14;3.05;0.14;3.05;0.21;3.05;0.15;3.05;0.16;3.05;0.17;3.05;0.16;3.05;0.15
3.07;0.13;3.07;0.12;3.07;0.14;3.07;0.19;3.07;0.15;3.07;0.14;3.07;0.19;3.07;0.15;3.07;0.14;3.07;0.17;3.07;0.16;3.07;0.17
3.10;0.14;3.10;0.16;3.10;0.15;3.10;0.19;3.10;0.15;3.10;0.15;3.10;0.25;3.10;0.14;3.10;0.14;3.10;0.18;3.10;0.17;3.10;0.13
